"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","whichParam","flockingEscape"
"148","39",33,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.76055854637775,6.50575191374341,"AlignWeight",0
"148","4",34,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.36438089735554,6.45462887067525,"AlignWeight",0
"148","40",35,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.33480921013168,6.42406521888363,"AlignWeight",0
"148","41",36,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.41539794998351,6.21753893629566,"AlignWeight",0
"148","42",37,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.87754573775069,6.42212031383179,"AlignWeight",0
"148","43",38,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.48733017000848,6.40662521892468,"AlignWeight",0
"148","44",39,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.36597541861338,6.55043495359311,"AlignWeight",0
"148","45",40,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.25714794796795,6.32443179239464,"AlignWeight",0
"148","46",41,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.95983409046782,6.70062044710599,"AlignWeight",0
"148","47",42,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.55443487928225,6.59958860884822,"AlignWeight",0
"148","48",43,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.98969479835336,6.38952919189068,"AlignWeight",0
"148","49",44,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.59037340869986,6.26294034081143,"AlignWeight",0
"148","5",45,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.96947108724519,6.43129049239251,"AlignWeight",0
"148","50",46,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.76442372383053,6.6222043859778,"AlignWeight",0
"148","6",47,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,294.129999999877,294.129999999877,1,0.1,4.30365092110567,6.92777216923606,"AlignWeight",0
"148","7",48,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.22258287125308,6.34857640479415,"AlignWeight",0
"148","8",49,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.77576922611969,6.31332605423843,"AlignWeight",0
"148","9",50,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,191.709999999971,191.709999999971,1,0.1,3.01183705035487,6.53313226196494,"AlignWeight",0
"149","1",1,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.55079011537596,6.42147908994268,"AlignWeight",0
"149","10",2,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.58414395298221,6.46610451060533,"AlignWeight",0
"149","11",3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.16384950032044,6.4720393971701,"AlignWeight",0
"149","12",4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.22221851185983,7.21297900485396,"AlignWeight",0
"149","13",5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.54034625514876,6.46897390909907,"AlignWeight",0
"149","14",6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.00123850064003,6.39279642276105,"AlignWeight",0
"149","15",7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.62912396653815,6.71128753921112,"AlignWeight",0
"149","16",8,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,2.85414040064121,6.28167283532243,"AlignWeight",0
"149","17",9,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.39782452910562,6.50041005669907,"AlignWeight",0
"149","18",10,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.75908451068327,6.43359793123575,"AlignWeight",0
"149","19",11,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.50447792278181,6.45330198753264,"AlignWeight",0
"149","2",12,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.4651415828144,6.29248298446046,"AlignWeight",0
"149","20",13,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.40797715701546,6.43295659201132,"AlignWeight",0
"149","21",14,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.71185308184642,6.45276917218767,"AlignWeight",0
"149","22",15,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.15414047721319,6.600275735313,"AlignWeight",0
"149","23",16,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.62138320706596,6.47513696892541,"AlignWeight",0
"149","24",17,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.77395047256389,6.50691999297853,"AlignWeight",0
"149","25",18,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.59854555030241,6.42077036987741,"AlignWeight",0
"149","26",19,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.64756410752225,6.37105192701706,"AlignWeight",0
"149","27",20,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.36103868851243,6.46493172058094,"AlignWeight",0
"149","28",21,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.15251329171781,6.29010911374676,"AlignWeight",0
"149","29",22,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.75050145522478,6.47016793254155,"AlignWeight",0
"149","3",23,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.56693995667776,6.57244828479907,"AlignWeight",0
"149","30",24,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.49660957145545,6.57509278021798,"AlignWeight",0
"149","31",25,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.67422254715791,6.41480597258888,"AlignWeight",0
"149","32",26,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.8778367110847,6.44656661658925,"AlignWeight",0
"149","33",27,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,2.67574340625489,6.19302473294611,"AlignWeight",0
