"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","flockingEscape","whichParam"
"1","38",32,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,297.609999999874,297.609999999874,2,0.2,3.65236195471862,7.0135820922483,0,"AgentStepTime"
"1","39",33,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.80206413723106,6.4816283632695,0,"AgentStepTime"
"1","4",34,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.40982302114101,6.46726473422044,0,"AgentStepTime"
"1","40",35,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.59525522436981,6.46750899678971,0,"AgentStepTime"
"1","41",36,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.02858346279605,6.42360491642215,0,"AgentStepTime"
"1","42",37,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,2.71987852000246,6.46695424159351,0,"AgentStepTime"
"1","43",38,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.10272588185415,6.32493859090657,0,"AgentStepTime"
"1","44",39,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,4.16933492872428,6.83734245224345,0,"AgentStepTime"
"1","45",40,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.02014694236055,6.45538598385576,0,"AgentStepTime"
"1","46",41,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.04759241196149,6.40365527595768,0,"AgentStepTime"
"1","47",42,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,153.100000000006,153.100000000006,1,0.1,3.56374080243398,6.78055449678453,0,"AgentStepTime"
"1","48",43,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.57085850583697,6.50701121860972,0,"AgentStepTime"
"1","49",44,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.04483203267673,6.37582378016035,0,"AgentStepTime"
