FileName,SetNum,RepNum,Model,AgentStepTime,NumAgents,Neighbors,FractionInformed,AvoidRadius,AlignRadius,AttractRadius,AlignYIntercept,ObstacleRadius,ObsVisibility,TurnRate,AvoidWeight,AlignWeight,AttractWeight,ObstacleWeight,Agent,GoalReachTimes,minimumYs,extremeXs,maximumYs
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep10.mat,1,2,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,9,NaN,17.540758165,6.29138685439839,23.1984871979593
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep10.mat,1,2,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NaN,16.6753409499778,6.57019717165,23.3246780682256
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,1,NaN,17.9349297077455,5.65163740494652,23.2910166527709
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,2,NaN,17.6671028800237,6.44056369785,23.2599089480521
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,3,NaN,15.610821726781,6.8052535785619,23.2810632886749
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,4,NaN,16.3468836987597,6.92003487589377,23.2602492968625
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,5,NaN,16.0770419317391,6.92095173207485,23.1315037947003
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,6,NaN,17.5131782003992,6.7729673324082,23.2785338132952
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,7,NaN,16.9394751518849,6.72988666367247,23.221941019934
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,8,NaN,18.8816083771538,5.99027449200699,23.2202284952408
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,9,NaN,17.5135262877014,6.4119830880124,23.2602926089146
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep11.mat,1,3,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NaN,18.0978466362835,5.98125359941555,23.2054333054663
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,1,NaN,14.6743459220627,6.41438365617974,23.2382176974062
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,2,NaN,14.6227492683983,6.69090411586891,23.171497125084
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,3,NaN,14.6032667914886,6.92325528573172,23.3017959940834
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,4,NaN,16.8876822927986,6.70431841969632,23.2509894249803
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,5,NaN,17.0537619647306,6.53839133770443,23.2117894237889
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,6,NaN,15.5515606346629,6.59413296997696,23.1464950405703
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,7,NaN,16.5237023095393,6.43585806362404,23.161104574856
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,8,NaN,15.7921955380796,6.92329728035556,23.2852848078618
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,9,NaN,16.5644038044585,6.88926184731178,23.2009274848385
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep12.mat,1,4,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NaN,14.6444602450683,6.47998756485438,23.2948757838663
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,1,NaN,16.3383978523334,6.45591522486607,23.2972658312517
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,2,NaN,15.7400763887577,6.62764606811237,23.2793542459437
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,3,NaN,15.9622821386857,6.60996519113883,23.2166928915492
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,4,NaN,16.8638423223804,6.51466589161938,23.2170441403483
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,5,NaN,16.3461801611986,6.51089992270197,23.3094193433054
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,6,NaN,17.3427773065757,5.97855436255381,23.2504705002038
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,7,NaN,16.1022767295651,6.66221356218172,23.1434300832041
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,8,256.129999999912,15.1210421055104,8.55090340542522,54.4250572928653
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,9,NaN,17.1266379695385,6.42880063513011,23.2974221111085
