parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
1,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,0.1,1,1
2,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
3,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1
4,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1
5,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
6,1000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,20,1,1
7,5000,0.01,3,15,3.141592654,0,2,0.1,10,7,1,1,5,10,0.6,1,1,2,1,50,1,1
