parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
1,300,0.01,1,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
2,300,0.01,2,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
3,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
4,300,0.01,4,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
5,300,0.01,1,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
6,300,0.01,2,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
7,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
8,300,0.01,4,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
