parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
51,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,2,5,10,0.6,1,1,2,1,36.3,1,6.56
52,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,2,5,10,0.6,1,1,2,1,36.3,1,6.56
53,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,3,5,10,0.6,1,1,2,1,36.3,1,6.56
54,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,3,5,10,0.6,1,1,2,1,36.3,1,6.56
55,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,4,5,10,0.6,1,1,2,1,36.3,1,6.56
56,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,4,5,10,0.6,1,1,2,1,36.3,1,6.56
57,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,5,5,10,0.6,1,1,2,1,36.3,1,6.56
58,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,5,5,10,0.6,1,1,2,1,36.3,1,6.56
59,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,2,10,0.6,1,1,2,1,36.3,1,6.56
60,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,2,10,0.6,1,1,2,1,36.3,1,6.56
61,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,3,10,0.6,1,1,2,1,36.3,1,6.56
62,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,3,10,0.6,1,1,2,1,36.3,1,6.56
63,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
64,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
65,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,7,10,0.6,1,1,2,1,36.3,1,6.56
66,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,7,10,0.6,1,1,2,1,36.3,1,6.56
67,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,10,10,0.6,1,1,2,1,36.3,1,6.56
68,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,10,10,0.6,1,1,2,1,36.3,1,6.56
69,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,5,0.6,1,1,2,1,36.3,1,6.56
70,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,5,0.6,1,1,2,1,36.3,1,6.56
71,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
72,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
73,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,15,0.6,1,1,2,1,36.3,1,6.56
74,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,15,0.6,1,1,2,1,36.3,1,6.56
75,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,20,0.6,1,1,2,1,36.3,1,6.56
76,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,20,0.6,1,1,2,1,36.3,1,6.56
77,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,30,0.6,1,1,2,1,36.3,1,6.56
78,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,30,0.6,1,1,2,1,36.3,1,6.56
79,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0,1,1,2,1,36.3,1,6.56
80,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0,1,1,2,1,36.3,1,6.56
81,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.1,1,1,2,1,36.3,1,6.56
82,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.1,1,1,2,1,36.3,1,6.56
83,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.2,1,1,2,1,36.3,1,6.56
84,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.2,1,1,2,1,36.3,1,6.56
85,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.3,1,1,2,1,36.3,1,6.56
86,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.3,1,1,2,1,36.3,1,6.56
87,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.4,1,1,2,1,36.3,1,6.56
88,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.4,1,1,2,1,36.3,1,6.56
89,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.5,1,1,2,1,36.3,1,6.56
90,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.5,1,1,2,1,36.3,1,6.56
91,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
92,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
93,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.7,1,1,2,1,36.3,1,6.56
94,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.7,1,1,2,1,36.3,1,6.56
95,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.8,1,1,2,1,36.3,1,6.56
96,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.8,1,1,2,1,36.3,1,6.56
97,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.9,1,1,2,1,36.3,1,6.56
98,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.9,1,1,2,1,36.3,1,6.56
99,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,1,1,1,2,1,36.3,1,6.56
100,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,1,1,1,2,1,36.3,1,6.56
101,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
102,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
103,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,2,2,2,1,36.3,1,6.56
104,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,2,2,2,1,36.3,1,6.56
105,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,5,5,2,1,36.3,1,6.56
106,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,5,5,2,1,36.3,1,6.56
107,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,10,10,2,1,36.3,1,6.56
108,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,10,10,2,1,36.3,1,6.56
109,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.2,1,36.3,1,6.56
110,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,0.2,1,36.3,1,6.56
111,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,0.5,1,36.3,1,6.56
112,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,0.5,1,36.3,1,6.56
113,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,1,1,36.3,1,6.56
114,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,1,1,36.3,1,6.56
115,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
116,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
117,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,4,1,36.3,1,6.56
118,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,4,1,36.3,1,6.56
119,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,6.28,1,36.3,1,6.56
120,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,6.28,1,36.3,1,6.56
121,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,36.3,1,6.56
122,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,36.3,1,6.56
123,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
124,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,36.3,1,6.56
