parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
148,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1
149,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1
150,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,5,1,1
151,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1
152,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,20,1,1
153,300,0.01,3,15,3.141592654,0,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,50,1,1
